pro_dancer,judge_FE,fan_FE,fan_minus_judge,rank_fan,rank_judge,rank_gap
Allison Holker,0.3932114035185985,0.23326573936490894,-0.15994566415368958,10,9,1
Anna Demidova,-0.7653083905101455,-0.9383032660772265,-0.17299487556708093,59,51,8
Dmitry Chaplin,0.3977280721257306,0.21657953347752132,-0.18114853864820926,12,8,4
Pasha Pashkov,0.24708581566819385,0.06285143761655554,-0.1842343780516383,32,18,14
Damian Whitewood,0.5086677697967747,0.31135617414077305,-0.1973115956560017,8,4,4
Charlotte Jorgensen,0.7519122197442638,0.5517282777104493,-0.2001839420338145,2,2,0
Alan Bersten (Rashad Jennings week 9),0.33637017710637196,0.08161637844535294,-0.254753798661019,29,11,18
Val Chmerkovskiy (Joey Graziadei week 9),0.43241813390073347,0.1348106721399893,-0.29760746176074415,23,6,17
Corky Ballas,0.4181176721181112,0.06483489551714491,-0.3532827766009663,31,7,24
Derek Hough,0.8486633141702123,0.41865350040092725,-0.4300098137692851,5,1,4
