w_judge,frac_weeks_flip,n_flips,n_weeks
0.0,0.0,0,335
0.02,0.0029850746268656717,1,335
0.04,0.01791044776119403,6,335
0.06,0.020895522388059702,7,335
0.08,0.008955223880597015,3,335
0.1,0.008955223880597015,3,335
0.12,0.0029850746268656717,1,335
0.14,0.0029850746268656717,1,335
0.16,0.0029850746268656717,1,335
0.18,0.005970149253731343,2,335
0.2,0.0029850746268656717,1,335
0.22,0.008955223880597015,3,335
0.24,0.011940298507462687,4,335
0.26,0.0029850746268656717,1,335
0.28,0.0,0,335
0.3,0.005970149253731343,2,335
0.32,0.011940298507462687,4,335
0.34,0.008955223880597015,3,335
0.36,0.011940298507462687,4,335
0.38,0.01791044776119403,6,335
0.4,0.008955223880597015,3,335
0.42,0.011940298507462687,4,335
0.44,0.011940298507462687,4,335
0.46,0.0029850746268656717,1,335
0.48,0.011940298507462687,4,335
0.5,0.014925373134328358,5,335
0.52,0.0,0,335
0.54,0.005970149253731343,2,335
0.56,0.0029850746268656717,1,335
0.58,0.005970149253731343,2,335
0.6,0.005970149253731343,2,335
0.62,0.011940298507462687,4,335
0.64,0.005970149253731343,2,335
0.66,0.01791044776119403,6,335
0.68,0.005970149253731343,2,335
0.7000000000000001,0.008955223880597015,3,335
0.72,0.005970149253731343,2,335
0.74,0.008955223880597015,3,335
0.76,0.023880597014925373,8,335
0.78,0.01791044776119403,6,335
0.8,0.023880597014925373,8,335
0.8200000000000001,0.020895522388059702,7,335
0.84,0.01791044776119403,6,335
0.86,0.026865671641791045,9,335
0.88,0.011940298507462687,4,335
0.9,0.014925373134328358,5,335
0.92,0.005970149253731343,2,335
0.9400000000000001,0.014925373134328358,5,335
0.96,0.014925373134328358,5,335
0.98,0.011940298507462687,4,335
1.0,0.07761194029850746,26,335
