pro_dancer,judge_FE,fan_FE,fan_minus_judge,rank_fan,rank_judge,rank_gap
Andrea Hale,-1.5342207025010481,0.4963458743724345,2.0305665768734826,4,59,-55
Henry Byalikov,-0.036529506467631936,0.9765380107254383,1.0130675171930703,1,36,-35
Elena Grinenko,-1.475761998316261,-0.468089421156602,1.007672577159659,55,57,-2
Ezra Sosa,-1.037913216821845,-0.16857831672390222,0.8693349000979428,48,54,-6
Tyne Stecklein,-1.1039601239854355,-0.3959550676409457,0.7080050563444898,53,55,-2
Koko Iwasaki,-1.4938231310079852,-0.865507101658036,0.6283160293499492,58,58,0
Ashly DelGrosso,-0.7375870565957321,-0.15047141623076263,0.5871156403649694,46,50,-4
Rylee Arnold,-0.9224022479506075,-0.48039215704682303,0.4420100909037845,56,53,3
Emma Slater/Kaitlyn Bristowe (week 9),-1.1087922574071354,-0.6675866984241212,0.44120555898301417,57,56,1
Alec Mazo,-0.17315780789633087,0.2254779730048026,0.3986357809011335,11,40,-29
